Simga,Rajim,Rampur,Andhiyarkhore,Ghatora,Bamnidhi,Kurubhata,Kelo,Sundargarh,Paramanpur,Basantpur,Hirakud,Mean_areal_rainfall_upper
881.08,315.127,128.6,100.81,0.698,138.6,282.0,70.69,413.3,0.0,1900.0,2122.19,7.2423835443038
756.0,200.0,80.0,35.0,0.664,256.8,213.5,88.0,300.0,0.0,2500.0,2929.9,9.485481645569623
544.7,232.132,51.95,80.399,8.0,831.0,200.0,129.1,350.0,0.0,2450.0,3514.65,22.05145
737.1,286.733,113.3,236.802,17.266,700.5,182.8,190.1,879.6,0.0,3777.0,5579.38,24.034805063291127
668.68,161.088,98.93,102.079,12.944,879.7,485.0,200.4,1081.0,0.0,4800.0,7533.8,18.229722784810136
404.2,98.195,101.4,117.888,6.249,744.2,300.0,247.9,1236.0,0.0,4300.0,8148.88,14.212146202531645
416.47,521.583,176.7,57.891,4.182,575.0,583.4,124.7,592.6,0.0,4300.0,6930.75,7.996931645569617
481.0,257.699,195.9,40.073,2.41,552.5,851.2,113.2,409.484,0.0,2639.0,5472.44,13.120442405063306
468.0,300.0,150.0,42.0,2.472,340.0,1112.7,55.0,420.0,0.0,2839.0,4083.77,3.1313101265822794
354.01,221.881,231.2,38.408,18.0,501.8,1154.6,53.64,342.7,0.0,2815.0,3980.29,17.13340696202532
407.56,536.496,114.9,115.847,27.288,609.3,508.1,116.3,437.3,0.0,2860.0,4001.64,11.1787917721519
580.31,384.533,200.0,54.189,23.625,349.7,402.9,50.53,361.1,0.0,2400.0,4416.76,5.191818354430381
401.6,174.04,118.4,37.694,24.909,280.0,350.0,33.19,244.0,0.0,2766.0,3607.29,5.070006962025315
403.72,402.866,78.78,27.457,17.244,224.5,310.9,171.9,283.9,0.0,1800.0,3337.2,10.519043670886072
407.02,317.214,124.5,28.12,16.054,300.0,428.4,169.7,800.102,0.0,1500.0,3019.76,13.21048164556962
800.0,230.0,125.0,58.0,49.864,320.0,290.5,172.0,490.0,0.0,2300.0,3605.31,10.100479113924049
448.11,158.893,141.8,58.338,80.0,500.2,250.7,133.6,656.204,0.0,2970.0,3823.4,4.932743037974682
308.98,147.053,113.4,148.0,63.054,569.8,300.4,97.27,435.1,0.0,2000.0,4509.99,6.54576898734177
236.83,227.112,104.7,34.816,185.78,513.2,392.3,75.09,288.376,0.0,1608.0,3280.05,5.558832911392404
232.89,202.136,70.0,103.398,71.328,490.0,330.0,44.34,209.6,0.0,1425.0,2593.15,5.789114556962024
285.57,205.926,55.0,52.791,45.255,748.3,417.4,95.84,256.7,0.0,1700.0,2136.26,14.113776582278485
433.0,263.01,75.15,85.385,300.887,472.3,350.0,114.1,264.4,0.0,1800.0,2741.74,6.633561392405064
404.98,250.0,150.0,142.0,702.981,462.0,250.9,114.0,295.0,0.0,2204.0,2955.87,7.801242405063293
435.5,310.0,197.6,89.733,240.0,400.5,211.0,117.2,228.496,0.0,2226.0,3303.22,6.5157411392405065
413.98,250.0,158.8,70.094,95.0,300.0,270.1,96.68,192.8,0.0,2158.0,3145.56,3.491479746835443
354.17,205.0,105.7,42.877,68.572,167.0,293.5,130.8,255.131,0.0,1936.0,2630.47,11.76807658227848
260.07,170.611,82.39,48.273,35.2,204.1,225.0,58.47,255.2,0.0,1541.0,2459.34,5.15890253164557
356.4,155.0,78.1,31.219,35.0,146.9,210.0,36.7,200.4,0.0,1335.0,2540.16,2.4974943037974686
248.47,108.441,50.0,27.46,57.632,169.0,212.2,38.27,145.9,0.0,1198.0,1918.06,3.095897468354431
200.0,80.0,40.0,20.0,64.083,126.6,201.8,44.0,175.0,0.0,1000.0,1292.21,3.934194936708859
270.86,80.337,37.0,27.2,50.0,116.3,199.4,81.46,151.017,0.0,800.0,1529.2,5.259669620253164
224.31,54.508,38.64,20.048,54.408,290.0,212.0,35.58,155.031,0.0,1057.0,1195.25,2.3973360759493665
180.09,82.654,35.36,32.418,63.546,217.6,158.9,90.47,175.0,0.0,925.0,1552.81,3.9934398734177203
182.98,56.926,22.64,18.715,48.638,229.6,175.0,37.74,150.0,0.0,879.3,1769.6,3.779875316455695
142.13,43.631,20.36,11.793,38.351,320.8,180.0,24.34,110.839,0.0,821.5,1173.84,0.500987341772152
111.85,32.32,12.94,9.804,30.425,131.1,177.2,14.59,96.88,0.0,748.2,864.355,1.1107759493670886
107.0,20.0,10.0,8.0,67.521,145.5,220.4,8.5,83.0,0.0,547.4,842.293,0.07381075949367087
80.48,28.132,6.152,5.572,70.0,79.38,166.1,7.722,61.173,0.0,496.2,581.778,0.012858860759493669
